cpu_name,cpu_cpu_mark_1,cpu_cpu_mark_2,cpu_cpu_mark_3,cpu_cpu_mark_4
Intel Pentium 3825U,77.0,190.0,,
Intel Celeron 2970M,85.0,164.0,,
Intel Core i5-4302Y,65.0,185.0,,
AMD A10-4600M,63.0,187.0,446.0,1162.0
AMD A8-5550M,68.0,188.0,395.0,1073.0
AMD Athlon Silver 3050e,102.0,226.5,594.5,1172.0
Intel Core M-5Y70,91.0,182.0,,
Intel Celeron 3865U,72.0,142.0,,
AMD A10 Pro-7350B,55.0,162.0,,
Intel Celeron N4120,73.2,224.0,439.0,1509.0
Intel Core M-5Y10a,83.0,190.0,,
AMD A9-9425,76.0,125.0,,
Intel Core i5-4202Y,74.0,169.0,,
AMD A9-9410,63.0,130.0,,
Intel Core i5-3339Y,71.0,163.0,,
Intel Core i3-4005U,68.0,172.0,,
Intel Core i3-3217U,63.5,152.0,,
Intel Pentium N4200,52.0,163.0,345.0,935.0
AMD A8-7100,44.0,133.0,,
Intel Celeron J4115,70.6,244.0,399.0,1420.5
Intel Core i3-4020Y,60.0,152.0,,
AMD A6-7310,44.5,139.0,,
Intel Core 2 Duo P8600,65.0,118.0,,
Intel Pentium 3558U,67.0,129.0,,
AMD A6-9220,68.5,111.5,,
Intel Pentium 2117U,58.0,120.0,,
Intel Celeron N4500,82.0,171.0,499.5,885.0
AMD A6-5350M,63.5,117.5,,
Intel Pentium N3540,42.0,156.5,,
Intel Celeron N3450,44.5,143.0,,
Intel Atom x7-Z8750,38.9,133.0,233.0,770.0
AMD A4-4300M,60.0,93.0,,
Intel Pentium N3700,37.0,141.0,,
Intel Atom x7-Z8700,37.5,116.0,,
AMD E2-7110,37.0,140.0,,
Intel Atom x5-Z8550,36.0,134.0,,
Intel Atom x7-E3950,41.0,125.0,,
Intel Celeron N2940,35.5,110.5,,
Intel Celeron J3355,47.6,90.0,,
Intel Celeron N3150,32.0,118.0,,
Intel Pentium N3510,33.0,123.0,,
AMD A4-5000,33.0,119.0,193.0,676.0
Intel Atom x5-Z8300,27.0,94.0,,
AMD E2-9000,47.0,84.0,,
Intel Celeron N2840,38.0,76.0,,
Intel Celeron N3060,38.0,72.5,,
Intel Atom x5-E8000,27.0,94.0,,
Intel Celeron N2830,38.0,67.0,,
Intel Celeron N3050,34.0,62.5,,
Intel Celeron N2810,31.0,59.0,,
Intel Core 2 Duo SU7300,38.7,72.22,207.0,392.0
AMD E1-6010,25.0,49.0,,
Intel Celeron N2806,26.0,58.0,,
AMD A4-1250,20.5,32.5,,
AMD A4-1200,19.0,31.0,,
AMD Ryzen Threadripper PRO 3975WX,201.0,7053.0,1285.0,28798.0
Intel Core i9-12900K,289.0,3765.0,2005.5,17776.0
AMD Ryzen 9 3950X,209.0,4002.0,1306.0,12363.0
Intel Core i9-10980XE,208.0,3744.0,1260.0,16480.0
Intel Core i7-12700K,272.0,3325.0,1890.0,15557.0
Intel Core i9-12900HK,276.5,2783.0,1878.5,13756.5
AMD Ryzen 9 3900X,207.0,3049.0,1250.0,10498.0
Intel Core i9-11900K,256.0,2397.0,1787.5,10596.5
AMD Ryzen 7 5800X,266.0,2616.0,1665.0,11354.0
AMD Ryzen 9 3900,197.0,2804.0,1246.0,10190.0
Intel Core i9-10850K,215.0,2457.0,1401.0,11436.0
Intel Core i7-12800H,261.5,2200.0,1748.5,12615.5
Apple M1 Pro,209.0,1690.0,1768.0,12499.0
Intel Core i9-11980HK,230.0,2152.0,1627.0,9813.0
