name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
Intel UHD Graphics (Jasper Lake 32 EU),1016.0,1552.0,1016.0,5745.0
Intel UHD Graphics 617,997.0,1540.5,997.0,8662.0
Intel HD Graphics 615,853.0,1242.5,853.0,7399.0
NVIDIA GeForce 710M,768.5,1106.5,768.5,7993.0
AMD Radeon HD 7570M,569.0,829.0,569.0,5998.5
AMD Radeon HD 8550G,792.0,1179.0,792.0,7314.0
AMD Radeon HD 7640G + HD 7610M Dual Graphics,663.0,1582.5,663.0,7881.5
AMD Radeon HD 7620G,716.0,948.0,716.0,5553.0
Intel UHD Graphics 610,634.0,915.0,634.0,6026.0
Intel HD Graphics 4400,569.0,735.5,569.0,5164.0
Intel HD Graphics 510,621.0,847.0,621.0,7253.0
AMD Radeon HD 7550M,569.0,756.0,569.0,4932.0
Intel UHD Graphics 605,454.0,648.0,454.0,3526.5
Intel HD Graphics 5300,439.0,647.0,439.0,4775.0
AMD Radeon R4 (Stoney Ridge),583.0,972.5,583.0,4246.5
AMD Radeon R4 (Beema),497.0,716.0,497.0,4046.0
AMD Radeon R3 (Mullins/Beema),419.5,620.0,419.5,4010.0
Intel HD Graphics (Broadwell),463.0,641.0,463.0,5077.0
AMD Radeon HD 7500G,512.0,585.0,512.0,4810.0
AMD Radeon HD 8400,401.0,614.0,401.0,3532.0
AMD Radeon HD 8330,351.0,530.0,351.0,3334.5
Intel HD Graphics 500,362.5,482.0,362.5,3506.0
Intel HD Graphics (Braswell),261.0,395.0,261.0,1311.0
AMD Radeon HD 7420G,343.0,453.0,343.0,3751.0
AMD Radeon HD 7400G,327.0,415.0,327.0,2931.0
AMD Radeon HD 8280,328.0,496.0,328.0,
AMD Radeon HD 8250,253.5,422.5,253.5,2570.0
AMD Radeon HD 8210,227.0,343.5,227.0,2177.5
Intel HD Graphics (Ivy Bridge),285.5,315.0,285.5,2930.0
AMD Radeon HD 7340,224.0,331.5,224.0,2466.5
AMD Radeon HD 8180,145.0,268.0,145.0,1723.5
NVIDIA GeForce RTX 3080 Laptop GPU,27316.5,38470.5,27316.5,
NVIDIA RTX A5000 Laptop GPU,27271.0,36163.5,27271.0,
NVIDIA GeForce RTX 2080 Super Mobile,24960.0,34875.5,24960.0,41873.0
AMD Radeon RX 6800S,27397.0,37004.0,27397.0,51423.0
NVIDIA GeForce RTX 2080 Mobile,25436.0,34897.0,25436.0,41995.0
NVIDIA GeForce GTX 1070 SLI (Laptop),32969.0,42910.0,32969.0,
