Brand,Model,Product Type,Colour,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Resolution,Graphics Card Type,Graphics Card Memory (GB),Camera Resolution (MP),Type,Bluetooth,Other Ports,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Asus,E410M-ABV1254TS,Laptop, Peacock Blue,Celeron N4020,2,1.1,,4,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14,1366 x 768,Intel UHD Graphics 600,,VGA,"16:9 aspect ratio, 200nits, 45% NTSC color gamut, LED Backlit for non-OLED, Anti-glare display, Screen-to-body ratio: 78%",Bluetooth 4.1 (Dual band) 1*1,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.3,1.84cm,32.5cm,21.7cm,2099
Acer,Chromebook Spin 311 (CP311-2HN-C61K),Notebooks,, Intel® Celeron® N4100,4,,,8,LPDDR4,,64,Chrome OS™,11.6″,1366x768,Intel® HD Graphics 600,,720p HD video recording,,Bluetooth 4.0,,,IEEE 802.11ac,1.25,1.99cm,29.6cm,20.6cm,1899
Asus,A516 (A516E-ABQ1300TS),Laptop,Transparent Silver,Core i3-i3-1115G4,2,3.0,4.1 GHz,8,DDR4 SO-DIMM,M.2 NVMe PCIe 3.0 SSD,256,Windows 10 Home,15.6,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,,VGA Web Camera (Fixed type),"250 nits, 16:9 Anti-glare display NTSC: 45% IPS-level Panel ",Bluetooth 4.1,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.8,1.99cm,36.02cm,23.49cm,2599
HP,Victus 16-E0122AX,Gaming laptop,Performance Blue,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4-3200 SO-DIMM,M.2 NVMe PCIe 3.0 SSD ,512,Windows 10 Home,16.1,1920 x 1080,NVIDIA GeForce RTX 3050,4,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),2.47,2.35cm,37cm,26cm,3799
Microsoft,Surface Laptop 4,Laptop,Matte Black,Core i5-1135G7,4,2.4,4.2 GHz,,,SSD,512,Windows 10 Home,13.5,2256 x 1504,Intel Iris Xe Graphics G7 80EUs,,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,1 x Surface Connect port,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.288,1.45cm,30.8cm,22.3cm,6099
Microsoft,Surface Laptop 4 (5IM-00018),Surface Laptop,Matte Black,Core i7-1185G7,4,3.0,4.8 GHz,16,LPDDR4x RAM,SSD,512,Windows 10 Home,15,2496 x 1664,Intel Iris Xe Graphics G7 96EUs,,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,1 x Surface Connect port,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.542,1.47cm,33.95cm,24.4cm,8299
HP,Chromebook x360 11 G3,Laptop,Chalkboard Gray,Celeron N4020,2,1.1,2.8 GHz,4,LPDDR4-2400 MHz RAM,eMMC,32,Chrome OS,11.6,1366 x 768,Intel UHD Graphics 600,,720p HD camera,"Touch, IPS, BrightView, 220 nits, 50% NTSC",Bluetooth 5.0,,"2 x USB Type-C (3.1 Gen 1, Power Delivery, Data Transfer, DisplayPort), 2 x USB Type-A (3.1 Gen 1)",Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi,1.45,2.09cm,29.5cm,20.53cm,999
Acer,Aspire 3 (A315-23-R725),Laptop,Charcoal Black,,,,,4,DDR4 SDRAM,SSD,512,Windows 10 Home,15.6,1366 x 768,AMD Radeon RX Vega 3 ,,HD,"ComfyView, LED-backlit LCD",Yes,,"1 x USB Type-A (2.0), 2 x USB Type-A",IEEE 802.11ac,1.90,1.99cm,36.34cm,25.05cm,2599
Microsoft,Surface Laptop Studio (THR-00017),Surface Laptop Studio,Platinum,Core i5-11300H,4,3.1,4.4 GHz,16,LPDDR4x,SSD,256,Windows 11 Home,14.4,2400 x 1600,Intel Iris Xe Graphics,,1080p with Windows Hello Authentication,PixelSense Flow Display,Bluetooth 5.1,1 x Surface Connect port,"2 x USB Type-C (USB4, Thunderbolt 4)",Wi-Fi 6 (802.11ax),1.743,1.89cm,32.33cm,22.83cm,7399
,Surface Laptop Studio (A1Y-00017),Surface Laptop Studio,Platinum,Core i7-11370H,4,3.3,4.8 GHz,16,LPDDR4x,SSD,512,Windows 11 Home,14.4,2400 x 1600,NVIDIA GeForce RTX 3050 Ti,4,1080p with Windows Hello Authentication,PixelSense Flow Display,Bluetooth 5.1,1 x Surface Connect port,"2 x USB Type-C (USB4, Thunderbolt 4)",Wi-Fi 6 (802.11ax),1.82,1.89cm,32.33cm,22.83cm,9399
