Brand,Model,Product Type,Colour,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Resolution,Graphics Card Type,Graphics Card Memory (GB),Camera Resolution (MP),Type,Bluetooth,Other Ports,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Acer,Enduro Urban N3 (EUN314A-51W-592A),Laptop,Denim Blue,1135G7,4,2.4,4.2 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3497
HP,Laptop 15S-EQ1017AU,Laptop,Pale Gold,Athlon Silver 3050U,2,2.3,3.2 GHz,4,DDR4-2400 MHz RAM,,256,Windows 10 Home,15.6,1366 x 768,AMD Radeon RX Vega 2,,HP TrueVision HD Camera with integrated dual array digital microphone,SVA BrightView micro-edge WLED-backlit,Bluetooth 4.2,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)", 802.11ac (1x1) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,1699
Asus,ZenBook Flip S13 OLED (UX371E-AHL283TS),Laptop,Jade Black,,,,,,,,,,,,,,,,,,,,1.2,1.39cm,30.5cm,21.1cm,5997
MSI,Modern 14 B11MOU-870,Laptop,Carbon Gray,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200,,512,Windows 11 Home,14,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,,"1 x USB Type-C (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 2)",802.11 ax Wi-Fi 6 ,1.3,1.81cm,31.9cm,21.9cm,2497
Lenovo,IdeaPad 3 (81W000RXMJ),Laptop,Platinum Grey,Athlon Gold 3150U,2,2.6,3.3 GHz,4,DDR4-2400,SSD M.2 2242 PCIe 3.0x2 NVMe,256,Windows 11 Home,14,1366 x 768,AMD Radeon RX Vega 3,,720p with Privacy Shutter,"TN, 220 nits, Anti-glare",Bluetooth 5.0,,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)", 802.11ac,1.6,1.99cm,32.71cm,24.1cm,1799
HP,Omen 16-B0075TX,Gaming laptop,Shadow Black,Core i7-11800,8,2.3,4.7 GHz,16,DDR4-3200 MHz RAM,,512,Windows 10 Home,16.1,2560 x 1440),NVIDIA GeForce RTX 3060,6,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"165 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",Bluetooth 5.0,1 x Mini DisplayPort,"1 x USB Type-C (USB 4), 3 x USB Type-A",Intel Wi-Fi Certified 6 AX201 (2x2),2.3,2.3cm,36.92cm,24.8cm,6697
Lenovo,IdeaPad 3 (82H700D9MJ,Laptop,Sand,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200 ,,512,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,,720p with Privacy Shutter,"TN, 250 nits, Anti-glare, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)", 802.11ac,1.41,1.99cm,32.42cm,21.57cm,2299
Huawei,MateBook 14s,Laptop,Space Grey,Core i7-11370H,4,3.1,4.4 GHz,16,LPDDR4x Dual Channel,NVMe PCIe SSD,1 TB,Windows 10 Home,14,2520 x 1680,Intel Iris Xe Graphics G7 96EUs,,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,6699
Acer,Predator Helios 300 (PH317-55-76CR),Gaming laptop,Abyss Black,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4 SDRAM,,512,Windows 10 Home,17.3,1920 x 1080,NVIDIA GeForce RTX™ 3060,6,HD,"LED, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4, USB Charging), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.9,2.66cm,39.8cm,27.53cm,7397
HP,Laptop 14s-dq3000TU,Laptop,,Celeron N4500,2,1.1,2.8 GHz,4,DDR4-2933 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics,,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,1899
Lenovo,ThinkPad E14 Gen 2,Laptop, Black,Core i5-1135G7,4,2.4,4.2 GHz,8,SDRAM SO-DIMM DDR4 3200MHz,M.2 2242 SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,IR Camera with Microphone & ThinkShutter,"IPS, Anti-glare, LED Backlight, Narrow, 45% CG, Non-Touch",Bluetooth 5.0,,"1 x USB Type-C (Thunderbolt 4), 1 x USB Type-A (3.2 Gen 1, Always On), 1 x USB Type-A (2.0)",Intel Wireless 9560 11AC (2x2),1.59,1.79cm,32.4cm,22cm,4297
Huawei,MateBook 14s,Laptop,Spruce Green,Core i5-11300H,8,3.1,4.4 GHz,8,LPDDR4x Dual Channel,NVMe PCIe SSD,512,Windows 10 Home,14.2,2520 x 1680,Intel Iris Xe Graphics G7 80EUs,,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,4999
HP,Laptop 15s-du1510TU,Laptop,Natural Silver,Core i3-10110U,2,2.1,4.1 GHz,8,DDR4-2666 MHz RAM,,512,Windows 10 Home,15.6,1366 x 768,Intel UHD Graphics 620,,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, BrightView, 220 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.74,1.99cm,35.85cm,24.2cm,2519
Acer,Swift 1 (SF114-34-P9TR),Laptop,Pure Silver,N6000,4,1.1 GHz,,8, LPDDR4X,,256,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics,,,,Bluetooth 5.0,,,,1.30,21.2cm,32.28cm,1.4cm,2199
Lenovo,81W000UVMJ ,Laptop,,,,,,4,SO-DIMM ,M.2 2242 PCIe,256,Windows 10 Home 64,14,1366 x 768,Integrated AMD Radeon Graphics,,,,Bluetooth 5.0,,,,1.6,32.7cm,24.1cm,1.99cm,1549
HP,Envy x360 Convert 13-BD0507TU,2-in-1 Laptops,Pale Gold,Core i7-1165G7,4,2.8,4.7 GHz,8,DDR4-2933 MHz RAM,PCIe NVMe TLC SSD,512,Windows 10 Home,13.3,1920 x 1080,Intel Iris Xe Graphics,,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"OLED, multitouch-enabled, UWVA, edge-to-edge glass, micro-edge, Corning® Gorilla® Glass NBT™, 400 nits, 100% DCI-P3",Bluetooth 5.0,,"1 x USB Type-C (USB4, Thunderbolt 4, 40 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5Gbps signaling rate)",Intel Wi-Fi 6 AX201 (2x2),1.33,1.64cm,30.65cm,19.46cm,5159
Acer,Nitro 5 (AN515-55-79CU),Gaming laptop, Black,Core i7-10750H,6,2.6,5.0 GHz,8,DDR4 SDRAM,PCIe NVMe SSD,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce GTX 1660 Ti,4,HD,144Hz display with IPS (In-Plane Switching) technology,Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.3,2.39cm,36.34cm,25.5cm,4899
Asus,ZenBook Duo 14 (UX482E-GHY071TS),Laptop,Celestial Blue,Core i5-1135G7,4,2.4,4.2 GHz,8,LPDDR4X,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HD camera with IR function to support Windows Hello,"16:9,IPS-level Panel,Anti-glare display,LED Backlit,400nits,sRGB: 100%,Pantone Validated,Screen-to-body ratio: 93 ％,With stylus support",Bluetooth 5.0,,"2 x USB Type-C (Thunderbolt 4, Display/Power Delivery), 1 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),1.62,1.73cm,32.4cm,22.2cm,5999
Acer,Nitro 5 (AN515-57-536D),Gaming laptop,Shale Black,Core i5-11400H,6,2.7,4.5 GHz,8,DDR4 SDRAM,PCI Express,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,HD,,Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4099
,Aspire 3 (A315-35-P4R5),Laptop,Pure Silver,Pentium Silver N6000,4,1.1,3.3 GHz,4,DDR4 RAM,,256,Windows 11 Home,15.6,1920 x 1080,Intel UHD Graphics,,HD,,Bluetooth 4.0,,"1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",IEEE 802.11ac/a/b/g/n,1.65,1.99cm,34.3cm,24.5cm,1799
